text,sentiment
Pre-market: Nifty seen opening flat; may reclaim 8800,Hold
See Nifty heading towards 5180-5150 levels: Ashwani Gujral,Hold
NHPC: Timely completion of projects crucial for company,Hold
Network18 names Anuj Gandhi as Group distribution director,Hold
Should you buy Nestle India now?,Hold
T Nandakumar to be appointed NDDB Chairman,Hold
NCDEX mulls relaunch of Brent contract soon,Hold
"Exporters, traders flock to NCDEX's forwards segment",Hold
NCDEX launches new membership category for forwards segment,Hold
"NCDEX spot turnover may reach Rs 7,000 crore",Hold
Nasdaq eyes running dark pools for banks: WSJ,Hold
Nasdaq Record: Then and Now,Hold
"MTS appoints heads of Karnataka, UP (West) circles",Hold
Kuldip Singh named new CMD of MTNL,Hold
D-Street shakeup may be triggered by MSCI rejig,Hold
MRPL records Rs 406 crore net profit,Hold
"For Mphasis, watch for 345-350 level: Ashwani Gujral",Hold
Moser Baer postpones bondholders meet on debt restructuring,Hold
"Centre, states gear up for MOIL offer",Hold
Mini Indian Rupee futures launched in Dubai,Hold
MindTree board accepts Sootas resignation,Hold
Microsoft is tuning its phones for India coverage,Hold
"Mercedes India appoints new heads for sales, marketing",Hold
MEP Infrastructure's Rs 324 crore IPO opens tomorrow,Hold
"July 1, 2014: Mecklai Financial report on Rupee",Hold
"July 10, 2014: Mecklai Financial report on Rupee",Hold
"July 16, 2014: Mecklai Financial report on Rupee",Hold
"July 31, 2014: Mecklai Financial report on Rupee",Hold
"July 9, 2014: Mecklai Financial report on Rupee",Hold
"June 11, 2014: Mecklai Financial report on Rupee",Hold
"June 17, 2014: Mecklai Financial report on Rupee",Hold
"June 25, 2014: Mecklai Financial report on Rupee",Hold
"Mecklai Financial Report: 22 September, 2014",Hold
"Mecklai Financial Report: Novermber 03, 2014",Hold
"Mecklai Financial Report: October 10, 2014",Hold
"Mecklai Financial Report: October 7, 2014",Hold
"Mecklai Financial Report: September 08, 2014",Hold
"Mecklai Financial Report: September 29, 2014",Hold
"April 02, 2014: Mecklai Financial report on rupee",Hold
"April 14, 2014: Mecklai Financial report on rupee",Hold
"April 16, 2014: Mecklai Financial report on rupee",Hold
"August 1, 2014: Mecklai Financial report on Rupee",Hold
"August 7, 2014: Mecklai Financial report on Rupee",Hold
"February 5, 2014: Mecklai Financial report on rupee",Hold
"January 03, 2014: Mecklai Financial report on rupee",Hold
"January 07, 2014: Mecklai Financial report on rupee",Hold
"January 11, 2014: Mecklai Financial report on rupee",Hold
"January 15, 2014: Mecklai Financial report on rupee",Hold
"March 04, 2014: Mecklai Financial report on rupee",Hold
"March 15, 2014: Mecklai Financial report on rupee",Hold
"May 29, 2014: Mecklai Financial report on rupee",Hold
"November 05, 2013: Mecklai Financial report on rupee",Hold
"November 13, 2013: Mecklai Financial report on rupee",Hold
"November 27, 2013: Mecklai Financial report on rupee",Hold
"November 28, 2013: Mecklai Financial report on rupee",Hold
"September 1, 2014: Mecklai Financial report on Rupee",Hold
"MCX-SXCCL seeks candidates for Managing Director, CEO post",Hold
MCX-SX is well ring-fenced from NSEL crisis: Sebi,Hold
MCX shares financial details with FTIL financial adviser,Hold
MCX CFO Hemant Vastani resigns,Hold
MCX migrates to latest version of exchange software,Hold
MCX plans to launch spot trading in gold?,Hold
McAfee appoints Anand Prahlad as India Operations head,Hold
Maytas Infra to consider share issue July 19,Hold
Max Life Insurance proposes maiden dividend for shareholders,Hold
Maruti Gujarat plans: Will small investors be shortchanged?,Hold
Games fund managers play in Maruti,Hold
Maruti may get re-rated post Diwali: Prakash Diwan,Hold
Market downside capped likely at 7550 levels,Hold
Market on a consolidating mode: Mitesh Thacker,Hold
Marico Kaya to be listed on bourses,Hold
Manappuram Finance launches another public issue,Hold
Manappuram Finance launches another public issue,Hold
MakeMyTrip posts Q4 net profit of $3.7 mn,Hold
Mahanagar Gas files IPO papers with Sebi,Hold
Madras Stock Exchange to close doors?,Hold
Macquarie initiates neutral rating on Lupin,Hold
M&M probably retest levels around 550: Ashwani Gujral,Hold
Hosiery maker Lux Industries to debut on NSE,Hold
Lux Industries lists on NSE at Rs 3342.05,Hold
US Generic launches are key to Lupin growth,Hold
Lamy names William Penn official distributor in India,Hold
Shareholding norms: L&T Finance Holdings explores various options,Hold
L&T: Analysts' views & recommendations on the stock,Hold
Five things to know about KYC Registration Agency,Hold
Kirloskar Engines India turns Kirloskar Oil Engines India,Hold
"Kalindee Rail is thinly traded: Sandeep Wagle, APTART",Hold
Jyothy Laboratories rejigs top management,Hold
"JPMorgan shuffles CFO, other execs",Hold
JK Tyre & Industries to consider stock split,Hold
Jindal SAW appoints Neeraj Kumar as group CEO,Hold
"JGBs mixed, underpinned by solid 5-year auction results",Hold
JGBs steady at lofty levels as stocks slump,Hold
Q1 earnings analysis: Jammu and Kashmir Bank,Hold
Jaggery prices steady in thin trade,Hold
"ITC Q2 profit at Rs 2,425.16 crore",Hold
What can be expected from ITC Q3 results?,Hold
Be tactful on IT stocks: Deven Choksey,Hold
Stock-specific action likely on IT counters: Nitin Raheja,Hold
Stock-specific action likely on IT counters: Nitin Raheja,Hold
Decoding the cryogenic engine used in ISRO launch,Hold
Ircon declares Rs 64 crore dividend for 2011-12,Hold
Ingersoll Rand appoints Madhusudan Rao as CFO,Hold
Check out experts' recommendations on infra stocks,Hold
Infosys' S Gopalakrishnan is the new CII President,Hold
Infosys appoints Kanchinadam as Chief Compliance Officer,Hold
Infosys elevates Pravin Rao as whole-time director,Hold
What brokerages are expecting from Infosys Q4 results,Hold
Why long-term investors should stay invested in Infosys,Hold
Smart things to know about inflation-indexed bonds,Hold
Inflation indexed bonds to be modified: RBI DG,Hold
Infinite Computer to enter market,Hold
IndiGo staff keep off airline's IPO,Hold
Calculus that drives Indian Railways,Hold
Mark Mobius expects 15-20% returns from Indian markets,Hold
Mark Mobius expects 15-20% returns from Indian markets,Hold
"Indian market retains trillion-dollar tag, for now",Hold
Jignesh Shah quits Indian Energy Exchange board,Hold
How India Inc can woo more international investors,Hold
IIFL Commodities behind NSEL defamation notice?,Hold
Two IIFL subsidiaries get investment adviser licence,Hold
IIFCL launches infrastructure bonds,Hold
Anshu Jain joins IIF board,Hold
IiAS names Hetal Dalal as COO,Hold
Chandrakala Padia to be IIAS first woman chairperson,Hold
Narendra Kumar takes over as IGL Managing Director,Hold
2G auction will not impact Idea Cellular,Hold
IDBI Federal Life elevates Vighnesh Shahane as CEO,Hold
BoR awaits legal view for ICICI-BoR merger,Hold
What to expect from ICICI Bank Q3 results?,Hold
Rajnikant Patel tipped to become ICEX CEO,Hold
IBMA reconstitutes board; appoints four new directors,Hold
"Hyundai Motor India promotes R Sethuraman, Rakesh Srivastava",Hold
Hyundai elevates R Sethuraman to board of directors,Hold
Two senior executives quit HULs modern trade division,Hold
Hong Kong shares end mixed as insurers weigh,Hold
Hindujas to raise $1 bn through Petromin IPO,Hold
Hinduja Ventures Q3 profit at Rs 23.53 crore,Hold
Range-bound markets help consolidate: HDFC Standard Life,Hold
HCL ropes in Chandrasekaran as No. 2,Hold
Sant Singh Chatwal-led Hampshire Hotels appoints new CEO,Hold
Gur prices ends quiet on scattered buying,Hold
KK Maheshwari appointed as Grasim MD,Hold
"India valuations are less compelling, says Goldman Sachs",Hold
China eyes gold market clout with new exchange,Hold
Should you bet on gold loan companies?,Hold
Catch the glow of gold,Hold
"Gold trading flat, reflecting overseas trend",Hold
Elections results to influence gold prices: Study,Hold
"Gold steadies above $1,250/oz before US jobs report",Hold
Gold steadies ahead of expected hawkish Fed moves,Hold
Gold steadies as buoyant equities balance Ukraine tensions,Hold
"GMR, investors rework their investment in GEL",Hold
Sridhar Krishnamoorthy to head Gerdau Steel India,Hold
Geojit posts Rs 20 crore profit in Q2,Hold
General Insurance Corporation to offer catastrophe bonds,Hold
"MCX-SX distances itself from FTIL, plans makeover",Hold
FTILs warrants sale hangs in balance,Hold
Foodgrain prices rule steady in wholesale market,Hold
What lies ahead for FMCG stocks,Hold
Weak monsoon could halt rally in FMCG stocks,Hold
FMC revises norms for surrendering membership of commexes,Hold
FMC unveils uniform warehouse accreditation norms for bourses,Hold
FMC mulls centre-specific commodity forward trades,Hold
We are reviewing shareholding guidelines: FMC chairman,Hold
Flipkart names Rajnish Baweja as its finance controller,Hold
Firstsource: Should you invest at the current levels?,Hold
Finolex Cables Q4 PAT at Rs 18.68 cr,Hold
Financial Technologies appears befor Sebi in MCX-SX case,Hold
Financial Technologies receives non-binding bids for its stake,Hold
Ficci establishes centre for corporate governance,Hold
Fiat Chrysler launches Ferrari IPO,Hold
Fed decision unlikely to calm markets: Fund managers,Hold
Fatpipe to raise Rs 49 cr through IPO,Hold
Brokerspicks: Morgan Stanley has equal-weight on Exide Industries,Hold
Everstone names L. Brooks Entwistle as group CEO,Hold
Are Europe-focused funds a good bet?,Hold
Staying active in flat European stock markets,Hold
European stock markets flat as glum outlook weighs,Hold
European shares steady ahead of ECB decision,Hold
European shares steady; all eyes on ECB,Hold
Euronext names new head of post-trade business,Hold
Euro back around $1.37 as ECB meets again,Hold
Euro is not too strong: Luc Coene,Hold
Euro remains steady ahead of ECB policy meeting,Hold
Eurex exchange says currently experiencing technical issues,Hold
Important support for EUR/USD lies at $1.3588/86,Hold
Ravi Ruia quits as Essar Energy chief,Hold
Rajeev Vasudeva appointed CEO of Egon Zehnder,Hold
Day Trading Guide by Edelweiss Securities,Hold
Day Trading Guide from Edelweiss Securities,Hold
DTC will not impact foreign investor fund inflows,Hold
DSP Blackrock moves Sebi for retirement fund,Hold
Dry fruit prices rule steady in tight movements,Hold
"A look at the Dow 1,000-point milestones",Hold
How the dollar impacts you,Hold
Dollar moves narrowly in Asia trade,Hold
Dollar steady in Asia ahead of Fed minutes,Hold
"Dollar supported by ECB talk, Japan election speculation",Hold
Pramod Bhasin to head DLF's rental business,Hold
Dhanlaxmi Bank board orders 3-year expenditure audit,Hold
Dhabriya Polywood lists on SME platform of BSE,Hold
"Deutsche sets Sensex target at 24,000 by December",Hold
Cyclicals to wait for concrete fundamentals: Nitin Raheja,Hold
Crude reserves filling to begin after March 2016,Hold
Crisil launches first inflation-linked government securities index,Hold
Commonfloor.com plans to launch IPO in 3-5 years,Hold
Commodities futures now part of supply chain,Hold
Look beyond annual contracts in commodity buying',Hold
Mixed trend prevailed in commodities market this week,Hold
Commexes extended trade hours hit a roadblock,Hold
Comfort Comtrade lists on BSE's SME platform,Hold
Colgate-Palmolive India appoints Prabha Parameswaran as MD,Hold
Coffee Day to list shares on Monday,Hold
Coffee Day IPO: Should you subscribe or avoid?,Hold
CNX IT holding the market: Ashwani Gujral,Hold
CLSA picks top 12 investment themes for 2014,Hold
Sameer Goel takes over as Cipla India head,Hold
Cipla to meet revised targets,Hold
Cipla appoints Adil Zainulbhai as an independent director,Hold
Sameer Goel takes over as Cipla's India head,Hold
"Despite discount, CIL staff cool to IPO",Hold
Ajay Shriram takes over as new CII President,Hold
China yuan sees respite from recent bruising,Hold
China yuan flat despite a two-month low midpoint,Hold
China yuan pinned steady by central bank guidance,Hold
China stocks close mixed ahead of 'connector' launch,Hold
China stock offers to resume next week: Companies,Hold
China Overseas Land braves market with euro bonds,Hold
China markets calm in thin trade,Hold
Cerebra snaps winning streak as traders corner co,Hold
Central Depository Services plans Rs 400 crore IPO,Hold
Care reports flat net in Q3,Hold
Carborundum Universal posts Rs 49 cr Q4 profit,Hold
Caldwell looks to raise stake in BSE,Hold
BSNL IPO may happen next fiscal: Disinvestment Secretary,Hold
Muhurat trading at BSE and NSE on Diwali,Hold
BSE Sensex rangebound; Nifty holds 7600 levels,Hold
BSE revises circuit limit for 405 stocks,Hold
BSE increases lot-size of foreign index derivatives contracts,Hold
"BSE plans international exchange in Gujarat, commodity bourse",Hold
BSE to begin charging for currency derivatives trade,Hold
BSE to introduce new group 'W' from Friday,Hold
BSE tweaks minimum base capital rules for brokers,Hold
BS Transcomm debuts at Rs 257/share on NSE,Hold
BS Transcomm IPO looks costlier than peers:Nirmal Bang,Hold
Vinita Bali steps down as Britannia Managing Director,Hold
Record open interest points to Brent price support,Hold
Bonds now move in tandem with stocks,Hold
Bonds little changed; treasury bills auction in focus,Hold
Bond yields steady ahead of buyback results,Hold
Bond yields steady; treasury bill outcome watched,Hold
Bond yields little changed; buyback news to support,Hold
Fruitful talks held with Bharti on mobile industry,Hold
BGR Energy can test 370 levels: Mitesh Thacker,Hold
Several Belgian companies tie up with domestic companies,Hold
"Barclays appoints heads of equities for India, Korea",Hold
Analysts' recommendations on banking stocks,Hold
Too early to buy banking stocks: Deepak Mohoni,Hold
Bank Nifty may consolidate: Mitesh Thacker,Hold
Stock-specific action likely; all eyes on Bank Nifty,Hold
Bajaj Auto Q2 net at Rs 591 crore,Hold
Bafna Pharmaceuticals proposes to raise funds,Hold
Australia shares end flat ahead of bank results,Hold
Australia shares seen steady ahead of emergency summit,Hold
Aster Silicates IPO opens on Thursday,Hold
GST is a brahmastra to kick-start GDP: Assocham,Hold
Asian stocks mixed after Wall Street records,Hold
Hold on to Asian Paints: Deven Choksey,Hold
Asian Paints Q3 net at Rs 329.35 cr,Hold
"Asian currencies mixed, await US jobs data",Hold
Asia shares mixed after new Wall Street record,Hold
Asia Index launches S&P BSE dividend stability index,Hold
Asia to test bond record again in 2015,Hold
Ashoka Buildcon to issue shares to institutional investors,Hold
Ashok Leyland vice chairman V Sumantran resigns,Hold
Dheeraj Hinduja appointed Chairman of Ashok Leyland,Hold
ArthVeda Capital to launch Smart Alpha indices,Hold
"Apple Inc announces seven-part bond for buybacks, dividends",Hold
Fundamentally markets are fairly priced: Angel Broking,Hold
Ameriprise Financial closes financial planning division in India,Hold
Amar Ujala files IPO papers with Sebi,Hold
Sanjiv Mediratta joins Amalgamated Bean Coffee Trading Company,Hold
India's Lalita Gupte finds place in Alstom's Board,Hold
AkzoNobel India appoints Jayakumar Krishnaswamy as managing director,Hold
Air India bond sale extended to September 26,Hold
Adlabs Entertainment to make market debut on Monday,Hold
"ADAG identifies rogue brokers, seeks SEBI action",Hold
ABN Amro IPO values bank at $17.9 billion,Hold
Early triggers coming into ABG Shipyard: Rajesh Jain,Hold
ABB relying on short-term orders to lower risk,Hold
A2Z Engg plans Rs 350-cr public issue,Hold
Markets may move in 8000-8200 range,Hold
3i Infotech to begin talks for bond refinancing: Source,Hold
5150-5300 the big base for Nifty this year: IL&FS,Hold
7050 to 7080 cash level for Nifty: Ashwani Gujral,Hold
Abhay Kumar Singh is new CEO of SBI Cards,Hold
Alibaba set to price IPO shares amid investor frenzy,Hold
"Alkem Laboratories prices IPO at Rs 1,050 per share",Hold
Ambit Capital appoints Saurabh Mukherjea as Head of Equities,Hold
Amit Akali calls it quits at Grey Worldwide India,Hold
Anil Dua quits Hero MotoCorp; to pursue career abroad,Hold
Ansuman Das takes over as full-time CMD of NALCO,Hold
Arbitrageurs building positions in natural gas counter on MCX,Hold
"Arcil to pick stake in Spic, come on board",Hold
Arun Gupta appointed CMD of Shipping Corporation of India,Hold
Ashok Vidyasagar appointed as senior VP of Endemol India,Hold
"Asia stocks muted as China data, Wall St weighed",Hold
"Atanu Sen becomes new MD, CEO of SBI Life",Hold
Axis Bank foreign shareholding crosses 49 per cent limit,Hold
Banking stocks to see lot of traction: Mitesh Thacker,Buy
Bayer CropScience plans Rs 455 crore share buyback offer,Hold
Bosch appoints Guenter Weber as regional president in India,Hold
Bourses ask companies to comply with corporate governance norms,Hold
BPCL hires four banks for US dollar bond offering,Hold
Brokerages have mixed views on Wipro post Q4 results,Hold
Brokers seek reduction in option trading charges at NSE,Hold
BSE and NSE announce trading holiday on April 24,Hold
"BSE opens investor centres at Lucknow, Vadodara and Patna",Hold
BSE to foray into commodities trading with new platform,Hold
CCD may be valued at $1bn in April IPO,Hold
Ceat fairly priced at the current levels: Nitin Raheja,Hold
Central Bank of India housing finance subsidiary eyes IPO,Hold
Century Textiles posts Rs 1.58 crore profit in Q3,Hold
China funds raise equity allocations as buy-in opportunities rise,Hold
China slaps restrictions on 7 securities and futures institutions,Hold
China yuan almost unchanged after moving in narrow range,Hold
Choose NBFCs which have muliple products including insurance:Prateek Agarwal,Hold
Coal India board appoints M Viswanathan as Company Secretary,Hold
Cosmo Films to raise Rs 100 crore through QIP,Hold
Create framework to fight cyber attacks on markets: Sebi,Hold
Dalit Entrepreneurs celebrate the launch of Dicci's Mumbai chapter,Hold
David Lau appointed GM of Singapore Airlines in India,Hold
Did Federal Reserve's Janet Yellen just enter currency wars?,Hold
DLF asked to give fund-requirement plans for interim relief,Hold
Do not see Nifty testing 8000 levels: UR Bhat,Hold
Does Sesa Sterlite look attractive as SC lifts ban?,Hold
Dollar steadies in Asian markets despite weak GDP data,Hold
Ennore Port to approach Shipping Ministry for IPO approval,Hold
Espirito Santo Securities appoints Premal Madhavji as Equities Head,Hold
Eveready Industries records Q4 profit at Rs 5.44 crore,Hold
Expect Nifty to hover around 5950-6100 levels: Mitesh Thacker,Hold
Expect Nifty to hover around 5950-6100 levels: Sandeep Wagle,Hold
"Expect Nifty50 to trade in 7,700-7850 range: Mitesh Thacker",Hold
F&O Tracker: Nifty likely to cap resistance at 6270,Hold
F&O: Next support of Nifty seen around 5000 levels,Hold
